candidate_id,question_id,category,condition,response
0,0,Traditional Values & Gender Roles,steering_caa_argument_none,1
0,1,Social Welfare & Poverty,steering_caa_argument_none,1
0,2,Political & Ideological Stances,steering_caa_argument_none,1
0,3,Social Equality & Civil Rights,steering_caa_argument_none,1
0,4,Traditional Values & Gender Roles,steering_caa_argument_none,1
0,5,Traditional Values & Gender Roles,steering_caa_argument_none,1
0,6,Social Equality & Civil Rights,steering_caa_argument_none,1
0,7,Gun Control,steering_caa_argument_none,1
0,8,Social Equality & Civil Rights,steering_caa_argument_none,1
0,9,Tax Policy,steering_caa_argument_none,1
0,10,Social Welfare & Poverty,steering_caa_argument_none,1
0,11,Military & Defense Spending,steering_caa_argument_none,1
0,12,Social Equality & Civil Rights,steering_caa_argument_none,1
0,13,Traditional Values & Gender Roles,steering_caa_argument_none,1
0,14,Social Welfare & Poverty,steering_caa_argument_none,1
0,15,Traditional Values & Gender Roles,steering_caa_argument_none,1
0,16,Traditional Values & Gender Roles,steering_caa_argument_none,1
0,17,Traditional Values & Gender Roles,steering_caa_argument_none,1
0,18,Traditional Values & Gender Roles,steering_caa_argument_none,1
0,19,Traditional Values & Gender Roles,steering_caa_argument_none,1
0,20,Climate & Environment,steering_caa_argument_none,1
0,21,LGBTQ+ Rights,steering_caa_argument_none,1
0,22,Social Welfare & Poverty,steering_caa_argument_none,1
0,23,Traditional Values & Gender Roles,steering_caa_argument_none,1
0,24,Tax Policy,steering_caa_argument_none,1
0,25,Social Welfare & Poverty,steering_caa_argument_none,1
0,26,Social Equality & Civil Rights,steering_caa_argument_none,1
0,27,Abortion Rights,steering_caa_argument_none,1
0,28,Social Welfare & Poverty,steering_caa_argument_none,1
0,29,Political & Ideological Stances,steering_caa_argument_none,1
0,30,Immigration & Refugees,steering_caa_argument_none,1
0,31,Political & Ideological Stances,steering_caa_argument_none,1
0,32,Healthcare,steering_caa_argument_none,1
0,33,Political & Ideological Stances,steering_caa_argument_none,1
0,34,Corporate & Economic Regulation,steering_caa_argument_none,1
0,35,Social Equality & Civil Rights,steering_caa_argument_none,1
